AÑO,RATIO,SECTOR,VALOR
2012,TOTAL PASIVO CORRIENTE,FABRICACIÓN HARDWARE,129354487
2013,TOTAL PASIVO CORRIENTE,FABRICACIÓN HARDWARE,150180773.1
2009,TOTAL PASIVO CORRIENTE,SOFTWARE,80460284.6
2010,TOTAL PASIVO CORRIENTE,SOFTWARE,101117772.7
2011,TOTAL PASIVO CORRIENTE,SOFTWARE,124403290.1
2012,TOTAL PASIVO CORRIENTE,SOFTWARE,166090442.3
2013,TOTAL PASIVO CORRIENTE,SOFTWARE,175664248.5
2009,TOTAL PASIVO CORRIENTE,TELECOMUNICACIONES,1534249550
2010,TOTAL PASIVO CORRIENTE,TELECOMUNICACIONES,1527087937
2011,TOTAL PASIVO CORRIENTE,TELECOMUNICACIONES,1363465753
2012,TOTAL PASIVO CORRIENTE,TELECOMUNICACIONES,1497454052
2013,TOTAL PASIVO CORRIENTE,TELECOMUNICACIONES,1545016971
2009,TOTAL PATRIMONIO NETO,ALQUILER HARDWARE,1103980.64
2010,TOTAL PATRIMONIO NETO,ALQUILER HARDWARE,902624.94
2011,TOTAL PATRIMONIO NETO,ALQUILER HARDWARE,1355972.45
2012,TOTAL PATRIMONIO NETO,ALQUILER HARDWARE,1070641.33
2013,TOTAL PATRIMONIO NETO,ALQUILER HARDWARE,672426.78
2009,TOTAL PATRIMONIO NETO,COMERCIALIZACIÓN HARDWARE,85544217.82
2010,TOTAL PATRIMONIO NETO,COMERCIALIZACIÓN HARDWARE,99150507.43
2011,TOTAL PATRIMONIO NETO,COMERCIALIZACIÓN HARDWARE,123864511.2
2012,TOTAL PATRIMONIO NETO,COMERCIALIZACIÓN HARDWARE,142116265
2013,TOTAL PATRIMONIO NETO,COMERCIALIZACIÓN HARDWARE,165975429.7
2009,TOTAL PATRIMONIO NETO,CONTENIDOS,149161534
2010,TOTAL PATRIMONIO NETO,CONTENIDOS,204700685.4
2011,TOTAL PATRIMONIO NETO,CONTENIDOS,228327341.7
2012,TOTAL PATRIMONIO NETO,CONTENIDOS,270714574.6
2013,TOTAL PATRIMONIO NETO,CONTENIDOS,279380905.9
2009,TOTAL PATRIMONIO NETO,FABRICACIÓN HARDWARE,32126648.27
2010,TOTAL PATRIMONIO NETO,FABRICACIÓN HARDWARE,43592949.57
2011,TOTAL PATRIMONIO NETO,FABRICACIÓN HARDWARE,51977529.28
2012,TOTAL PATRIMONIO NETO,FABRICACIÓN HARDWARE,62720136
2013,TOTAL PATRIMONIO NETO,FABRICACIÓN HARDWARE,72984428.91
2009,TOTAL PATRIMONIO NETO,SOFTWARE,48698941.8
2010,TOTAL PATRIMONIO NETO,SOFTWARE,55984677.37
2011,TOTAL PATRIMONIO NETO,SOFTWARE,79351607.35
2012,TOTAL PATRIMONIO NETO,SOFTWARE,99439782.07
2013,TOTAL PATRIMONIO NETO,SOFTWARE,92973964.18
2009,TOTAL PATRIMONIO NETO,TELECOMUNICACIONES,2600277224
2010,TOTAL PATRIMONIO NETO,TELECOMUNICACIONES,4436684842
2011,TOTAL PATRIMONIO NETO,TELECOMUNICACIONES,3152966248
2012,TOTAL PATRIMONIO NETO,TELECOMUNICACIONES,3265811091
2013,TOTAL PATRIMONIO NETO,TELECOMUNICACIONES,3290609440
2009,UTILIDAD GRAVABLE,ALQUILER HARDWARE,204149.44
2010,UTILIDAD GRAVABLE,ALQUILER HARDWARE,274719.17
2011,UTILIDAD GRAVABLE,ALQUILER HARDWARE,454022.74
2012,UTILIDAD GRAVABLE,ALQUILER HARDWARE,314690.21
2013,UTILIDAD GRAVABLE,ALQUILER HARDWARE,349635.62
2009,UTILIDAD GRAVABLE,COMERCIALIZACIÓN HARDWARE,18234386.08
2010,UTILIDAD GRAVABLE,COMERCIALIZACIÓN HARDWARE,26758988.5
2011,UTILIDAD GRAVABLE,COMERCIALIZACIÓN HARDWARE,40439293.56
2012,UTILIDAD GRAVABLE,COMERCIALIZACIÓN HARDWARE,44949549.13
2013,UTILIDAD GRAVABLE,COMERCIALIZACIÓN HARDWARE,44831324.21
2009,UTILIDAD GRAVABLE,CONTENIDOS,32648303.18
2010,UTILIDAD GRAVABLE,CONTENIDOS,37526111.85
2011,UTILIDAD GRAVABLE,CONTENIDOS,51540344.43
2012,UTILIDAD GRAVABLE,CONTENIDOS,58874865.82
2013,UTILIDAD GRAVABLE,CONTENIDOS,62191095.16
2009,UTILIDAD GRAVABLE,FABRICACIÓN HARDWARE,9791555.2
2010,UTILIDAD GRAVABLE,FABRICACIÓN HARDWARE,12720559.14
2011,UTILIDAD GRAVABLE,FABRICACIÓN HARDWARE,14635158.02
2012,UTILIDAD GRAVABLE,FABRICACIÓN HARDWARE,14940298.15
2013,UTILIDAD GRAVABLE,FABRICACIÓN HARDWARE,17353225.24
2009,UTILIDAD GRAVABLE,SOFTWARE,14373184.29
2010,UTILIDAD GRAVABLE,SOFTWARE,19016452.7
2011,UTILIDAD GRAVABLE,SOFTWARE,26785879.86
2012,UTILIDAD GRAVABLE,SOFTWARE,32353887.06
2013,UTILIDAD GRAVABLE,SOFTWARE,41547822.16
2009,UTILIDAD GRAVABLE,TELECOMUNICACIONES,534883765.4
2010,UTILIDAD GRAVABLE,TELECOMUNICACIONES,593542383.9
2011,UTILIDAD GRAVABLE,TELECOMUNICACIONES,702989724.1
2012,UTILIDAD GRAVABLE,TELECOMUNICACIONES,787310198.2
2013,UTILIDAD GRAVABLE,TELECOMUNICACIONES,829930820
2009,ÍNDICE DE LIQUIDEZ,ALQUILER HARDWARE,1.40444436
2010,ÍNDICE DE LIQUIDEZ,ALQUILER HARDWARE,1.069044952
2011,ÍNDICE DE LIQUIDEZ,ALQUILER HARDWARE,0.898558247
2012,ÍNDICE DE LIQUIDEZ,ALQUILER HARDWARE,0.877391397
2013,ÍNDICE DE LIQUIDEZ,ALQUILER HARDWARE,0.73955072
2009,ÍNDICE DE LIQUIDEZ,COMERCIALIZACIÓN HARDWARE,1.497311586
2010,ÍNDICE DE LIQUIDEZ,COMERCIALIZACIÓN HARDWARE,1.455831627
2011,ÍNDICE DE LIQUIDEZ,COMERCIALIZACIÓN HARDWARE,1.468003606
2012,ÍNDICE DE LIQUIDEZ,COMERCIALIZACIÓN HARDWARE,1.498902177
2013,ÍNDICE DE LIQUIDEZ,COMERCIALIZACIÓN HARDWARE,1.640758066
2009,ÍNDICE DE LIQUIDEZ,CONTENIDOS,1.332623474
2010,ÍNDICE DE LIQUIDEZ,CONTENIDOS,1.352235087
2011,ÍNDICE DE LIQUIDEZ,CONTENIDOS,1.303397774
2012,ÍNDICE DE LIQUIDEZ,CONTENIDOS,1.285690876
2013,ÍNDICE DE LIQUIDEZ,CONTENIDOS,1.246010814
2009,ÍNDICE DE LIQUIDEZ,FABRICACIÓN HARDWARE,1.434633712
2010,ÍNDICE DE LIQUIDEZ,FABRICACIÓN HARDWARE,1.417969821
2011,ÍNDICE DE LIQUIDEZ,FABRICACIÓN HARDWARE,1.397944728
2012,ÍNDICE DE LIQUIDEZ,FABRICACIÓN HARDWARE,1.361004414
